Title,Author,Citation,Issue,Type ,Description,Year
Attitudes of Law Librarians to Theft and Mutilation Control Methods,"Richmond, Michael L.",68 Law Libr. J.  60 (1975),Issue 1,article,,1975
Law Books as a Charitable Contribution,"Cole, Charles D. Jr.",68 Law Libr. J.  71 (1975),Issue 1,article,,1975
"Medicine, Law, Librarianship: The Unique Contribution of George Edwin Wire","Beatty, William K.",68 Law Libr. J.  82 (1975),Issue 1,article,,1975
Federal Funds: Availability to Law Libraries,"Koslov, Marcia",68 Law Libr. J.  127 (1975),Issue 2,article,,1975
"Accreditation in Legal Education and in Education for Librarianship, 1878-1961","Parsons, Jerry L.",68 Law Libr. J.  137 (1975),Issue 2,article,,1975
Videotape in the Law Library,"Murray, Alice;Brody, Stuart A.",68 Law Libr. J.  171 (1975),Issue 2,comments,,1975
Automation in Law Libraries: The State of the Art,"Trelles, Oscar M.",68 Law Libr. J.  209 (1975),Issue 3,article,,1975
Law and Computers: Overview Update 1975,"Nycum, Peter",68 Law Libr. J.  234 (1975),Issue 3,article,,1975
The Doctrine of Fair Use as It Affects Libraries,"Stevenson, Iris Caroline",68 Law Libr. J.  254 (1975),Issue 3,article,,1975
Autonomous Law School Library: What It Can Mean to You                    ,"Bailey, James F. III",68 Law Libr. J.  274 (1975),Issue 3,article,,1975
Legal Literature and the Impact of Printing on the English Legal Profession,"Henderson, Edith G.",68 Law Libr. J.  288 (1975),Issue 3,article,,1975
A Look at American Law Reporting in the 19th Century,"Young, Thomas J. Jr.",68 Law Libr. J.  294 (1975),Issue 3,article,,1975
Circulation Policy in Law Libraries,"Magavero, Gerard",69 Law Libr. J. 15 (1976),Issue 1,article,,1976
The Reference Librarian and the Pro Se Patron,"Begg, Robert T.",69 Law Libr. J. 26 (1976),Issue 1,article,,1976
"Study of the Classification of Legal Materials in the Law Libraries of the Library of Congress, the Los Angeles County Law Library, and the University of Chicago","Hess, Elmer B.",69 Law Libr. J. 33 (1976),Issue 1,article,,1976
Foreign Commercial Legislation in English,"Reynolds, Thomas H.",69 Law Libr. J. 41 (1976),Issue 1,article,,1976
Bibliography of SEC Publications and Sources,"Mahar, Ellen P.",69 Law Libr. J. 60 (1976),Issue 1,index,,1976
Documents of the Federal Trade Commission,"Margeton, Steve",69 Law Libr. J. 66 (1976),Issue 1,article,,1976
Basic Bibliography for Native American Law,"Dees, Harry",69 Law Libr. J. 78 (1976),Issue 1,index,,1976
Personnel Management,"Witkowski, Dianne",69 Law Libr. J. 90 (1976),Issue 1,article,,1976
"Impact of Computerized Methods on Legal Research Courses: A Survey of LEXIS Experience and Some Probable Effects of WESTLAW, The                 ","Dee, Mathew F.;Kessler, Ruth M.",69 Law Libr. J. 164 (1976),Issue 2,article,,1976
Juris: Legal Information in the Department of Justice,"Hambleton, James E.",69 Law Libr. J. 199 (1976),Issue 2,article,,1976
A Nickel for Your ----: The Copyright Problem,"Doyle, Francis R.",69 Law Libr. J. 203 (1976),Issue 2,article,,1976
The Opinions of the State Attorneys General,"Chanin, Leah F.",69 Law Libr. J. 210 (1976),Issue 2,comments,,1976
Can the Use of Visual Media Hardware and Software Be of Any Value in Law Education,"Potts, Robert E.",69 Law Libr. J. 221 (1976),Issue 2,article,,1976
Women in Libraries,"Wahba, Susanne Patterson ",69 Law Libr. J. 223 (1976),Issue 2,article,,1976
Soviet Bibliographic Control over Legal Literature: A Historical Bibliography,"Bensman, Stephen J.",69 Law Libr. J. 232 (1976),Issue 2,article,,1976
Sources for the Legal History of the American Revolution - Part I,"Wroth, Kinvin",69 Law Libr. J. 277 (1976),Issue 3,article,Documents of the Colonial Conflict,1976
Commentary on Sources for the Legal History of the American Revolution - Part II,"Warden, Gerard B.",69 Law Libr. J. 292 (1976),Issue 3,article,Documents of the Colonial Conflict,1976
Preservation and Conservation of Legal Materials,"Cunha, George M.",69 Law Libr. J. 300 (1976),Issue 3,comments,,1976
Bridge of Words: 18th Century Lawyers and Papers - Part I,"Zobel, Hiller B.",69 Law Libr. J. 303 (1976),Issue 3,article,Lawyers' Papers as a Source of Legal History,1976
Lawyers' Papers as a Source of Legal History: The 19th Century - Part II,"Konefsky, Alfred",69 Law Libr. J. 307 (1976),Issue 3,article,Lawyers' Papers as a Source of Legal History,1976
Lawyers' Papers as a Source of Legal History: The 20th Century - Part III,"Auerbach, Jerold S.",69 Law Libr. J. 310 (1976),Issue 3,article,Lawyers' Papers as a Source of Legal History,1976
Acquisitions - Part I,"Moody, Myrtle A.",69 Law Libr. J. 314 (1976),Issue 3,article,Library Administration of Historical Materials,1976
Library Administration of Historical Materials: Cataloging - Part II,"Moody, Margaret M.",69 Law Libr. J. 318 (1976),Issue 3,article,Library Administration of Historical Materials,1976
Library Administration of Historical Materials: Exhibits - Part III,"Chadbourne, Erika S.",69 Law Libr. J. 321 (1976),Issue 3,article,Library Administration of Historical Materials,1976
Library Administration of Historical Materials: Microforms - Part IV,"Surrency, Erwin C.",69 Law Libr. J. 326 (1976),Issue 3,article,Library Administration of Historical Materials,1976
The Misery of Historians: Legal History and the Civil War,"Hyman, Harold M.",69 Law Libr. J. 329 (1976),Issue 3,article,,1976
The Use of Early American Court Records in Historical Research,"Flaherty, David H.",69 Law Libr. J. 342 (1976),Issue 3,article,,1976
American Law Library Book Catalogs - Part I,"Taylor, Betty W.",69 Law Libr. J. 347 (1976),Issue 3,article,Bibliographic Control and Guides to Historical Sources,1976
Checklist of Serials - Part II,"Pimsleur, Meira G.",69 Law Libr. J. 357 (1976),Issue 3,article,Bibliographic Control and Guides to Historical Sources,1976
General Monographic Bibliographies - Part III,"Halevy, Balfour J.",69 Law Libr. J. 364 (1976),Issue 3,article,Bibliographic Control and Guides to Historical Sources,1976
Legal Monographic Bibliographies - Part IV,"Cohen, Morris L.",69 Law Libr. J. 366 (1976),Issue 3,article,Bibliographic Control and Guides to Historical Sources,1976
Part I - Records and Briefs,"Surrency, Erwin C.",69 Law Libr. J. 440 (1976),Issue 4,comments,Documentary Sources for the Study of U.S. Supreme Court Litigation,1976
Part II - Resources in the Supreme Court Library,"Evans, Patricia",69 Law Libr. J. 444 (1976),Issue 4,comments,Documentary Sources for the Study of U.S. Supreme Court Litigation,1976
Part III - Materials in the National Archives,"McReynolds, Michael",69 Law Libr. J. 448 (1976),Issue 4,comments,Documentary Sources for the Study of U.S. Supreme Court Litigation,1976
Part I - Historic Trials: The Place of Persons in the Order of Things,"Mazor, Lester J.",69 Law Libr. J. 453 (1976),Issue 4,comments,Special Sources of American Legal History,1976
Part II - Biography in Legal History,"Botein, Stephen W.",69 Law Libr. J. 456 (1976),Issue 4,comments,Special Sources of American Legal History,1976
Part III - Treatise Literature,"Horwitz, Morton J.",69 Law Libr. J. 460 (1976),Issue 4,comments,Special Sources of American Legal History,1976
Recent Trends in Legal Historiography,"Gordon, Robert W.",69 Law Libr. J. 462 (1976),Issue 4,article,,1976
Part I - Introductory Remarks,"Strait, George A.",69 Law Libr. J. 469 (1976),Issue 4,comments,Group Roles in American Legal History,1976
Part II - Blacks,"Ferguson, Clyde Jr.",69 Law Libr. J. 470 (1976),Issue 4,comments,Group Roles in American Legal History,1976
Part III - the Role of Native Americans in American Legal History,"Funke, Karl A.;Kickingbird, Kirke",69 Law Libr. J. 474 (1976),Issue 4,comments,Group Roles in American Legal History,1976
Part IV - People of Spanish Descent,"Gonzalez, Armando",69 Law Libr. J. 494 (1976),Issue 4,comments,Group Roles in American Legal History,1976
Part V - Women,"Rasmussun, Laura",69 Law Libr. J. 497 (1976),Issue 4,comments,Group Roles in American Legal History,1976
Government Litigation Files as a Source of Legal History,"Irons, Peter H.",69 Law Libr. J. 503 (1976),Issue 4,comments,,1976
Functions and Jurisdiction of the United States Court of Customs Appeals,"Wemple, William L.",7 Law Libr. J. 23 (1914-1915),Issue 2,article,,1914
Some Auxiliaries of Statute Revision,"Belitz, Arthur F.",7 Law Libr. J. 29 (1914-1915),Issue 2,article,,1914
The Genesis of an Act of Congress,"Bryan, Henry L.",7 Law Libr. J. 58 (1914-1915),Issue 3,article,,1914
Bill Drafting,"Beaman, Middleton",7 Law Libr. J. 64 (1914-1915),Issue 3,article,,1914
English Law Libraries,"Deiser, George F.",7 Law Libr. J. 73 (1914-1915),Issue 4,article,,1914
Art and the Law,"Weil, Stephen E.",70 Law Libr. J. 1 (1977),Issue 1,comments,,1977
Law and the Visual Arts: An Annotated Bibliography,"Berkowitz, Rhoda L.",70 Law Libr. J. 5 (1977),Issue 1,article,,1977
Guide to Israel Legal Bibliography: Primary Sources,"Snyder, Esther Mann",70 Law Libr. J. 14 (1977),Issue 1,article,,1977
Microphobia in the Legal Profession,"Story, Allen C.",70 Law Libr. J. 31 (1977),Issue 1,comments,,1977
Cataloging Legal Materials On-Line,"Matthews, Elizabeth W.",70 Law Libr. J. 36 (1977),Issue 1,comments,,1977
Continuing Education for Law Librarianship,"Gasaway, Laura N.;Margeton, Steve",70 Law Libr. J. 39 (1977),Issue 1,article,,1977
Introduction: Why Networks for Libraries,"Brock, Christine A.",70 Law Libr. J. 54 (1977),Issue 1,article,Library Networks Revisited-A Symposium,1977
Some Characteristics of Legal Information and Their Importance in the Economics of Networks,"Smith, Frederick E.",70 Law Libr. J. 60 (1977),Issue 1,article,Library Networks Revisited-A Symposium,1977
Prototype for a Regional Law Library Network,"Kulpa, Lorraine A.",70 Law Libr. J. 67 (1977),Issue 1,article,Library Networks Revisited-A Symposium,1977
Law Library Consortium Data Base Components and Standards Study Group Report,"Grossman, George S.;Henke, Dan F.;Taylor, Betty W.",70 Law Libr. J. 74 (1977),Issue 1,article,Library Networks Revisited-A Symposium,1977
A Selected Bibliography on Library Networks,"Strable, Jane",70 Law Libr. J. 85 (1977),Issue 1,article,Library Networks Revisited-A Symposium,1977
United States Copyright Revision and Its Legislative History,"Marke, Julius J.",70 Law Libr. J. 121 (1977),Issue 2,article,,1977
"Not by Books Alone: Library Copying of Nonprint, Copyrighted Material","Golub, Melinda V.",70 Law Libr. J. 153 (1977),Issue 2,article,,1977
How to Research Copyright Law,"Chee, Luciana",70 Law Libr. J. 171 (1977),Issue 2,article,,1977
Rights of Students in Higher Education: A Due Process Emphasis,"Fletcher, Pamela W.;Ripps, Stephen R.",70 Law Libr. J. 277 (1977),Issue 3,article,,1977
Starting a Law School Library,"Levy, Charlotte L.;Koster, Gregory E.",70 Law Libr. J. 290 (1977),Issue 3,article,,1977
Administrative Assistants: Key Roles for a Nonlawyer Nonlibrarian in a Law Library,"Thomas, David A.",70 Law Libr. J. 309 (1977),Issue 3,article,,1977
Management Techniques Using Traditional Library Records,"Gasaway, Laura N.",70 Law Libr. J. 315 (1977),Issue 3,article,,1977
New Directions in Education for Law Librarianship,"Morse, Anita L.",70 Law Libr. J. 329 (1977),Issue 3,article,,1977
The Role and the Experiences of Supreme Court Law Clerks: An Annotated Bibliography,"Garcia, Lana Caswell",70 Law Libr. J. 338 (1977),Issue 3,article,,1977
"Legal Research Instruction in Law Schools, The State of the Art or, Why Law School Graduates Do Not Know How to Find the Law","Mills, Robin K.",70 Law Libr. J. 343 (1977),Issue 3,article,,1977
Subject Access to a Bibliographic Data Base for Law and Related Fields,"Sandmeyer, Ellen C.",70 Law Libr. J. 349 (1977),Issue 3,article,,1977
Semantic Methods in Legal Research,"Sangster, Barbara C.",70 Law Libr. J. 360 (1977),Issue 3,comments,,1977
A Note on Sources for Scientific Research for Lawyers,"Sherman, James G.",70 Law Libr. J. 364 (1977),Issue 3,comments,,1977
Recent Developments in Securities Law,"Levine, Theodore A.",70 Law Libr. J. 501 (1977),Issue 4,comments,,1977
"Public's Access to Government--Freedom of Information, Privacy and Sunshine Acts - an Address","Ward, Peter C.",70 Law Libr. J. 509 (1977),Issue 4,comments,,1977
Highest Aspirations or Barbarous Acts--The Explosion in Human Rights Documentation: A Bibliographic Survey,"Reynolds, Thomas H.",71 Law Libr. J. 1 (1978),Issue 1,comments,Comments,1978
Defining Death and Dying: A Bibliographic Overview,"Price, Kathleen",71 Law Libr. J. 49 (1978),Issue 1,comments,Comments,1978
Legal Implications of the Arab Economic Boycott of the State of Israel: A Research Guide,"Mersky, Roy M.;Richmond, Michael L.",71 Law Libr. J. 68 (1978),Issue 1,article,,1978
A Researcher's Guide to the Watergate Affair--Part I,"Dick, Barrett",71 Law Libr. J. 77 (1978),Issue 1,comments,Comments,1978
From out of the Past and into the Future,"Caulfield, Monica",71 Law Libr. J. 82 (1978),Issue 1,comments,Comments,1978
Publishing in International Law: History and Contemporary Analysis,"Cohen, Philip F.",71 Law Libr. J. 83 (1978),Issue 1,article,,1978
The Private Law Librarian--A Complete Library Professional,"Begleiter, Ronni F.",71 Law Libr. J. 91 (1978),Issue 1,article,,1978
Teaching Practices of Academic Law Librarians,"Brock, Christine Anderson;Edelman, Gayle Smith",71 Law Libr. J. 96 (1978),Issue 1,article,,1978
Current Problems Facing State Law Libraries,"Wolfe, Charles B.",71 Law Libr. J. 108 (1978),Issue 1,article,,1978
In Search of Standards for Public Law Libraries,"Ochal, Bethany J.",71 Law Libr. J. 115 (1978),Issue 1,article,,1978
Microform Update: Current Trends for Law Libraries,"Schwark, Sabine;Breakstone, Barbara R.",71 Law Libr. J. 121 (1978),Issue 1,article,,1978
Legal Research in a Side Carousel,"Spencer, Karen L.",71 Law Libr. J. 156 (1978),Issue 1,article,,1978
Impact of Lexis on the Law Firm Library: A Survey,"Myers, Mindy J.",71 Law Libr. J. 158 (1978),Issue 1,comments,Comments,1978
Greater Philadelphia Law Library Association 1977 Survey,"Shediac, Margaret",71 Law Libr. J. 170 (1978),Issue 1,comments,Comments,1978
Legal Periodical Usage Survey: Method and Application,"Johnson, Nancy P.",71 Law Libr. J. 177 (1978),Issue 1,comments,Comments,1978
Budgeting in Private Law Firm Libraries,"Carter, Ann M.",71 Law Libr. J. 187 (1978),Issue 1,article,,1978
"No Cheers for the American Law School--A Legal Historian's Complaint, Plea, and Modest Proposal","Hyman, Harold M.",71 Law Libr. J. 227 (1978),Issue 2,article,,1978
Marketing the Law School Library,"Gwynn, M. Beth",71 Law Libr. J. 234 (1978),Issue 2,article,,1978
Recent Developments in Federal Documents,"Axel-Lute, Paul",71 Law Libr. J. 247 (1978),Issue 2,legislation,,1978
Fitzherbert's Natura Brevium: A Bibliographic Survey,"Boersma, Frederick Lister",71 Law Libr. J. 257 (1978),Issue 2,comments,Comments,1978
A Researcher's Guide to the Watergate Affair--Part II,"Dick, Barrett",71 Law Libr. J. 266 (1978),Issue 2,comments,Comments,1978
"Motivation, Performance and Job Satisfaction of Librarians","Wahba, Susanne Patterson",71 Law Libr. J. 270 (1978),Issue 2,article,,1978
A New Law Firm Partnership: Administrators and Librarians,"Johnson, Beverlee;Rose, Verlinda C.",71 Law Libr. J. 279 (1978),Issue 2,article,,1978
Minorities Employed in Law Libraries,"Brecht, Albert;Mills, Robin",71 Law Libr. J. 283 (1978),Issue 2,article,,1978
The Southern California Association of Law Libraries at Age 25--An Informal Biography,"Caulfield, Monica",71 Law Libr. J. 356 (1978),Issue 2,comments,Comments,1978
Sir Anthony Fitzherbert: A Biographical Sketch and Short Bibliography,"Boersma, Frederick Lister",71 Law Libr. J. 387 (1978),Issue 3,comments,Comments,1978
Legal and Bibliographic Developments in Law and the Visual Arts: One Year Later,"Berkowitz, Rhoda L.",71 Law Libr. J. 401 (1978),Issue 3,comments,Comments,1978
Supreme Court Memorial Proceedings and Related Items: An Index,"Mersky, Roy M.;McCrary, Christy B.",71 Law Libr. J. 415 (1978),Issue 3,index,,1978
A Researcher's Guide to the Watergate Affair Part III,"Dick, Barrett",71 Law Libr. J. 420 (1978),Issue 3,comments,Comments,1978
"Autonomy, Librarian Status, and Librarian Tenure in Law School Libraries: The State of the Art, 1978","Bailey, James F. III;Trelles, Oscar M. II",71 Law Libr. J. 425 (1978),Issue 3,article,,1978
Indexing for Publishers,"Bander, Edward J.",71 Law Libr. J. 463 (1978),Issue 3,index,,1978
Introducing Students to LEXIS: A Model Self-Teaching Exercise,"Laurence, Robert",71 Law Libr. J. 467 (1978),Issue 3,article,,1978
LEXIS vs. WESTLAW: An Analysis of Automated Education,"Munro, Robert J.;Bolanos, J. A. ;May, Jon",71 Law Libr. J. 471 (1978),Issue 3,article,,1978
Selection of Government Documents in Law School Libraries,"Schlueter, Kay",71 Law Libr. J. 477 (1978),Issue 3,article,,1978
Cataloging and Classification Practices in Law Libraries: Results of a Questionaire,"Piper, Patricia L.;Kwan, Cecilia Hing Ling",71 Law Libr. J. 481 (1978),Issue 3,article,,1978
COM Catalog vs. Card Catalog: The Experience of the University of Oregon Law Library,"Hyatt, Dennis",71 Law Libr. J. 668 (1978),Issue 4,comments,Planning for a Change,1978
International Executive Agreements: A Guide to the Legal Issues and Research Sources,"Leary, Margaret A.",72 Law Libr. J. 1 (1979),Issue 1,article,,1979
The Arab-Israeli Conflict: A Legal Bibliography,"Silverburg, Sanford R.",72 Law Libr. J. 12 (1979),Issue 1,comments,Bibliography,1979
Juvenile Justice: A Bibliographic Essay,"Kondak, Ann",72 Law Libr. J. 21 (1979),Issue 1,comments,Essay,1979
Job Descriptions: New Uses for a Familiar Tool,"Klingner, Donald E.",72 Law Libr. J. 65 (1979),Issue 1,article,,1979
A Law Library Consulting Service in the Philadelphia Area,"Doms, Margaret T.",72 Law Libr. J. 68 (1979),Issue 1,article,,1979
Clinical Legal Education and the Law Library--An Update,"Grossman, George S.",72 Law Libr. J. 75 (1979),Issue 1,article,,1979
The Quality of OCLC Bibliographic Records: The Cornell Law Library Experience,"Boissonnas, Christian M.",72 Law Libr. J. 80 (1979),Issue 1,article,,1979
"The Ethical Aspects of Photocopying as They Pertain to the Library, the User and the Owner of Copyright","Tseng, Henry P.",72 Law Libr. J. 86 (1979),Issue 1,article,,1979
The Photocopying Machine: How Did It Begin,"Sawyer, Michael E.",72 Law Libr. J. 91 (1979),Issue 1,article,,1979
A Survey of Computerized Legislative Information Systems,"Schulte, Linda",72 Law Libr. J. 99 (1979),Issue 1,comments,Comments,1979
Survey of Professional Attitudes toward Research Retrieval Systems,"Rogers, Elaine;Cooper, William L.",72 Law Libr. J. 130 (1979),Issue 1,comments,Comments,1979
Doing Justice,"Bander, Ed",72 Law Libr. J. 150 (1979),Issue 1,article,,1979
Reference Service vs. Legal Advice: Is It Possible to Draw the Line,"Mills, Robin K.",72 Law Libr. J. 179 (1979),Issue 2,article,,1979
Current Subject Compilations of State Laws: Research Guide and Annotated Bibliography,"Boast, Carol;Foster, Lynn",72 Law Libr. J. 209 (1979),Issue 2,index,Bibliography,1979
"Federal Documents, 1978","Axel-Lute, Paul",72 Law Libr. J. 222 (1979),Issue 2,article,,1979
France: Libraries of Law and Librarians,"Germain, Claire M.",72 Law Libr. J. 235 (1979),Issue 2,article,,1979
The Bottom Lines: Fifty Years of Legal Footnoting in Review,"Wheeler, Edd D.",72 Law Libr. J. 245 (1979),Issue 2,article,,1979
Developing and Implementing a Law School Westlaw Orientation Program,"Zick, Kenneth A.",72 Law Libr. J. 260 (1979),Issue 2,article,,1979
State Administrative Decisions: A Very Preliminary Listing,"Allen, Cameron",72 Law Libr. J. 276 (1979),Issue 2,article,,1979
Bar Relief,"Bander, Ed",72 Law Libr. J. 352 (1979),Issue 2,article,,1979
"Law Books and Legal Publishing in America, 1760-1840","Parrish, Jenni",72 Law Libr. J. 355 (1979),Issue 3,article,,1979
Professional Responsibility of Accountants and Lawyers before the Securities and Exchange Commission,"Kosek, Reynold",72 Law Libr. J. 453 (1979),Issue 3,article,,1979
Game Theory and Supreme Court Decision Making: A Bibliographic Overview,"Brenner, Saul",72 Law Libr. J. 470 (1979),Issue 3,article,,1979
Acquiring International Legal Materials: Some Things to Bear in Mind,"Gordon, Edward",72 Law Libr. J. 476 (1979),Issue 3,article,,1979
Establishing a New GPO Depository Documents Department in an Academic Law Library,"Larson, Kathleen T.",72 Law Libr. J. 484 (1979),Issue 3,article,,1979
Ballots at Boalt,"Schriefer, Kent;Christiani, Linnea",72 Law Libr. J. 497 (1979),Issue 3,article,,1979
Disabled Libraries: An Examination of Physical and Attitudinal Barriers to Handicapped Library Users,"Begg, Robert T.",72 Law Libr. J. 513 (1979),Issue 3,article,,1979
Southern California Association of Law Libraries 1979 Salary Survey ,"Estes, Mark E.",72 Law Libr. J. 526 (1979),Issue 3,comments,Comments,1979
Doing Justice: Class Action,"Bander, Edward J.",72 Law Libr. J. 535 (1979),Issue 3,article,,1979
How to Perform a Patent Search: A Step by Step Guide for the Inventor,"Ollerenshaw, Kay",73 Law Libr. J. 1 (1980),Issue 1,article,,1980
A Checklist of Annual Surveys of State and Federal Laws,"Roehrenbeck, Carol A.",73 Law Libr. J. 17 (1980),Issue 1,comments,Comments,1980
An Annotated Bibliography of Current New York State Practice Materials,"Brown, Ronald L.",73 Law Libr. J. 28 (1980),Issue 1,comments,Bibliography,1980
Malpractice Liability of a Law Librarian,"Leone, Gerome",73 Law Libr. J. 44 (1980),Issue 1,article,,1980
A Case Study Approach to Legal Research: The Kent State Case,"Carrick, Kathleen M.",73 Law Libr. J. 66 (1980),Issue 1,article,,1980
Computer-Assisted Legal Research Instruction in Texas Law Schools,"Mersky, Roy M.;Christensen, John E.",73 Law Libr. J. 79 (1980),Issue 1,article,,1980
An Update on Faculty Libraries,"Finch, Jean;Flynn, Lauri R.",73 Law Libr. J. 99 (1980),Issue 1,article,,1980
Computerized Cataloging in Law Libraries: OCLC and RLIN Compared,"Norten, Melanie Nietmann;Hirst, Donna",73 Law Libr. J. 107 (1980),Issue 1,article,,1980
Rearranging a Law Library: A Case Study,"Johnson, Nancy P.",73 Law Libr. J. 129 (1980),Issue 1,article,,1980
Automation in the Private Law Library,"Marek, Kate",73 Law Libr. J. 134 (1980),Issue 1,article,,1980
Pennsylvania County Law Libraries: A Profile,"Foust, Judith M.",73 Law Libr. J. 143 (1980),Issue 1,article,,1980
1979 County Law Library Survey,"Gonzalez, Silvia A.",73 Law Libr. J. 168 (1980),Issue 1,comments,Comments,1980
Private Law Libraries Special Interest Section 1979 Salary Survey,"Shediac, Margaret",73 Law Libr. J. 218 (1980),Issue 1,comments,Comments,1980
Anecodotes about the Supreme Court,"Bander, Ed",73 Law Libr. J. 230 (1980),Issue 1,article,,1980
Gerontology and the Law: A Selected Bibliography,"Mubarak, Jill;Sapienza, Diane;Shimane, Robert",73 Law Libr. J. 255 (1980),Issue 2,comments,Bibliography,1980
French Civil Law System Since 1804,"Bessette, Irene",73 Law Libr. J. 336 (1980),Issue 2,article,,1980
The Quebec Legal System,"Goulet, Jean",73 Law Libr. J. 354 (1980),Issue 2,article,,1980
"Selected Legislative History of the Federal Income, Estate and Gift Tax Laws Since 1913","Lang, Isa",73 Law Libr. J. 382 (1980),Issue 2,article,,1980
Law and Literature: A Comment and Bibliography of Secondary Works,"Papke, David R.",73 Law Libr. J. 421 (1980),Issue 2,comments,Bibliography,1980
Federal Documents 1979,"Schoenberg, Jill",73 Law Libr. J. 438 (1980),Issue 2,article,,1980
Law Library Book Orders: An Analysis of Current Practice,"Dickson, Lance E.",73 Law Libr. J. 446 (1980),Issue 2,article,,1980
Greater Philadelphia Law Library Association 1979 Survey,"Leinbach, Anne E.;Beardwood, Louise B.",73 Law Libr. J. 498 (1980),Issue 2,comments,Comments,1980
Anecdotes from Bander,"Bander, Ed",73 Law Libr. J. 506 (1980),Issue 2,comments,Comments,1980
Another Degree,"Krakora, Ed",73 Law Libr. J. 529 (1980),Issue 3,notes,Note,1980
Ordinary Joe in the Decision-Making Process: The Viability of Staff Participation in Law Library Administration,"Schanck, Peter C.",73 Law Libr. J. 530 (1980),Issue 3,article,,1980
An American in London Law Libraries,"Leinbach, Anne E.",73 Law Libr. J. 591 (1980),Issue 3,article,,1980
Law Library Services to Rural Lawyers: The Saskatchewan Approach,"MacEllven, Douglass T.",73 Law Libr. J. 611 (1980),Issue 3,article,,1980
Legal Futurology: The Field and Its Literature,"Funk, David A.",73 Law Libr. J. 625 (1980),Issue 3,article,,1980
A Subject Index for Canadian Federal Statutes--A Proposal Based on the New Index to the U.S. Code of Federal Regulations,"Fraser, Joan",73 Law Libr. J. 634 (1980),Issue 3,article,,1980
"Michigan Practice Materials: A Selective, Annotated Bibliography","Johnson, Bruce S.",73 Law Libr. J. 672 (1980),Issue 3,article,,1980
Proposed Model for a Reference Internship in a Law School Library,"Parker, Marian F.",73 Law Libr. J. 683 (1980),Issue 3,article,,1980
"Changes and Challenges: Law School, the New Legal Education and the Law Library","Giblin, Robert",73 Law Libr. J. 693 (1980),Issue 3,article,,1980
Copyright and the Library Reserve Room,"Snyder, Fritz",73 Law Libr. J. 702 (1980),Issue 3,article,,1980
Survey of Technical Services Practices at Fifty Large Law School Libraries,"Hahn, Ermina",73 Law Libr. J. 715 (1980),Issue 3,comments,Comments,1980
A Capsule Description of User Services in Fifty Large Law School Libraries,"Axel-Lute, Paul",73 Law Libr. J. 726 (1980),Issue 3,article,,1980
Legal Services Law Librarianship--An Investigation of Salary and Benefits in a Pioneer Field ,"Garcia, Lana Caswell",73 Law Libr. J. 731 (1980),Issue 3,article,,1980
Anecdotes Revisited,"Bander, Ed",73 Law Libr. J. 734 (1980),Issue 3,comments,Comments,1980
Federal Economic Regulation through Wage and Price Control Programs: 1917-1980 A Selected Bibliography,"Reams, Bernard D. Jr.",74 Law Libr. J. 1 (1981),Issue 1,article,,1981
Products Liability Bibliography - a Comprehensive Subject Categorization of Law Journal Articles from January 1975 through August 1980,"Vetri, Dominick;Hoffer, Shirley Ann",74 Law Libr. J. 39 (1981),Issue 1,index,,1981
Major Publications of the United Nations Office of Legal Affairs,"Kleckner, Simone-Marie",74 Law Libr. J. 69 (1981),Issue 1,article,,1981
An Annotated Bibliography of Texas Practice Materials,"Gruben, Karl T.;Philipp, Linda",74 Law Libr. J. 87 (1981),Issue 1,article,,1981
Speak Memory: Microcomputers in Law Library Automation,"Royle, Mary Anne",74 Law Libr. J. 101 (1981),Issue 1,article,,1981
Legal Banter,"Bander, Edward J.",74 Law Libr. J. 205 (1981),Issue 1,comments,,1981
The Freedom of Information Act of 1966: A Legislative History Analysis,"Smith, Jim",74 Law Libr. J. 231 (1981),Issue 2,article,,1981
California Current State Practice Materials: An Annotated Bibliography,"Ochal, Bethany J.",74 Law Libr. J. 281 (1981),Issue 2,article,,1981
The Francis Hopkinson Law Reports,"Ritz, Wilfred J.",74 Law Libr. J. 298 (1981),Issue 2,article,,1981
Federal Documents 1980,"Schoenberg, Jill",74 Law Libr. J. 324 (1981),Issue 2,article,,1981
Word/Data Processing Applications for the Law Library,"Ryoo, Heija B.",74 Law Libr. J. 335 (1981),Issue 2,article,,1981
Vertical Files and Shelflists,"Hoover, Kathryn M.",74 Law Libr. J. 348 (1981),Issue 2,article,,1981
Organizing and Accessing a Special Collection,"Cohen, Linda",74 Law Libr. J. 355 (1981),Issue 2,comments,,1981
Private Law Libraries Special Interest Section 1980 Salary Survey,"Shediac, Margaret",74 Law Libr. J. 444 (1981),Issue 2,misc,,1981
Survey of Court Law Libraries,"Gonzalez, Silvia A.",74 Law Libr. J. 458 (1981),Issue 2,misc,,1981
Legal Banter from Bander,"Bander, Ed",74 Law Libr. J. 495 (1981),Issue 2,comments,,1981
Tenure for the Law Library Director: Bane or Blessing,"Ogden, Alan W.",74 Law Libr. J. 511 (1981),Issue 3,article,,1981
Authorship Characteristics in Law Library Journal: A Comparative Study,"Adamson, Martha C.;Zamora, Gloria J.",74 Law Libr. J. 527 (1981),Issue 3,article,,1981
Teaching Legal Reasoning in Law School: The University of Richmond Experience,"Swisher, Peter Nash",74 Law Libr. J. 534 (1981),Issue 3,article,,1981
Checklist of Legal Newspapers in the United States,"Ashmore, Anne",74 Law Libr. J. 543 (1981),Issue 3,index,,1981
